season,district,site,field_lati,field_long,site_latit,site_longi,block_id,seed_id,seed_rate_,seed_cost_,yield_t_ha,EnvIndex_t,RelYield__,profit_USD,wi,slope,sipi91_432,sipi8,sipi7,savi9,savi81_432,savi7,npcri9,npcri8,nprci7,ndwi9,ndwi8,ndwi7,ndvi7,gci9,gci8,gci7,evi9,evi8,evi7,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,bsi9,bsi8,bsi7,bi8,bi7,aspect,arvi9,arvi8,arvi7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
LR2018,Ndalu,Lungai,0.794619,34.89699,0.779332,34.90301,40256,scduma43,7.14,52,4.52,4.465,1.231803,1321.256,7.87305,3.36925,1.35422,1.18508,1.09399,0.30687,0.36206,1.09399,0.375,0.32658,0.29212,-0.51631,-0.55053,-0.63215,0.70634,2.13484,2.44964,3.43696,0.29375,0.35804,0.45445,2198,3204,3202,3185,2902,2654,1749,1254,1016,570,1256,2132,2679,2467,2234,1177,2877,399,834,786,3097,292,698,533,966,1762,2989,2781,2401,1078,0.3423,0.17385,0.08339,0.29824,0.31425,164.05461,0.19911,0.35149,0.52144,-12.97121,-7.81084,-13.94121,-9.80428,-14.88577,-9.7729,5.16037,1.66067,4.13693,4.13693,5.11287,1.52317,0,0,0,0,0,0,0,0,0,0,-12.97121,-7.81084,-13.94121,-9.80428,-14.88577,-9.7729,5.16037,1.66067,4.13693,4.13693,5.11287,1.52317,8575,7285,2944,2709,1754,3847,1801,1937,490,704
LR2018,Ndalu,Lungai,0.794742,34.8995,0.779332,34.90301,40257,scduma43,7.14,52,4.45,3.8425,15.81002,1299.283,9.04573,1.67011,1.28378,1.20892,1.08292,0.34305,0.34524,1.08292,0.37772,0.34797,0.25293,-0.53439,-0.55793,-0.64916,0.70884,2.29543,2.52417,3.7006,0.33136,0.33622,0.4666,1952,2975,3334,3246,3061,2758,1729,1107,985,500,1233,2140,2837,2583,2310,1372,2770,386,786,798,3140,319,668,535,962,1853,3238,3142,2654,1136,0.34296,0.20203,0.12221,0.28827,0.31853,236.30994,0.25705,0.32828,0.52749,-13.74827,-9.20843,-13.48856,-9.25225,-13.10161,-8.97811,4.53984,1.49301,4.23631,4.23631,4.1235,1.45928,0,0,0,0,0,0,0,0,0,0,-13.74827,-9.20843,-13.48856,-9.25225,-13.10161,-8.97811,4.53984,1.49301,4.23631,4.23631,4.1235,1.45928,9062,7253,3037,2855,2239,4022,1809,1989,365,702
LR2018,Ndalu,Lungai,0.802209,34.89371,0.779332,34.90301,40273,scduma43,4.44,32,6.68,6.4675,3.285659,2034.602,6.86247,1.8527,1.107,1.08534,1.05136,0.46508,0.44544,1.05136,0.29862,0.27835,0.22969,-0.6422,-0.65319,-0.69403,0.78433,3.58978,3.76693,4.53659,0.48021,0.45512,0.56201,1439,2474,3508,3502,3189,2861,1337,661,763,357,1017,1933,3181,3038,2558,1106,3027,280,635,496,3632,275,656,439,885,1778,3783,3590,2930,1032,0.35638,0.09993,0.04234,0.30674,0.36584,251.56505,0.48967,0.5385,0.63302,-14.15944,-9.0225,-12.15951,-8.6348,-12.86275,-8.31539,5.13694,1.56935,3.52472,3.52472,4.54736,1.54686,0,0,0,0,0,0,0,0,0,0,-14.15944,-9.0225,-12.15951,-8.6348,-12.86275,-8.31539,5.13694,1.56935,3.52472,3.52472,4.54736,1.54686,10750,6352,3297,2596,2538,4091,1878,2099,513,682
LR2018,Ndalu,Lungai,0.781985,34.89669,0.779332,34.90301,41997,scduma43,5.33,39,5.02,4.7425,5.851344,1485.863,6.4433,2.8161,1.56533,1.08492,1.06806,0.21667,0.43791,1.06806,0.48318,0.2665,0.27753,-0.52635,-0.64517,-0.68565,0.76145,2.22254,3.63651,4.36227,0.18966,0.44806,0.49671,1821,2518,2528,2230,2414,2076,1262,1036,692,361,898,1770,2807,2678,2383,957,2972,289,641,499,3212,246,599,435,770,1521,3239,2825,2486,913,0.24589,0.10287,0.06406,0.30136,0.32413,350.53769,0.1113,0.53135,0.59797,-14.09559,-8.61975,-14.45234,-9.17793,-15.7647,-9.66134,5.47585,1.63527,5.27441,5.27441,6.10337,1.63173,0,0,0,0,0,0,0,0,0,0,-14.09559,-8.61975,-14.45234,-9.17793,-15.7647,-9.66134,5.47585,1.63527,5.27441,5.27441,6.10337,1.63173,8387,6017,4036,2077,1925,4075,1682,2043,538,365
LR2018,Ndalu,Lungai,0.790014,34.89853,0.779332,34.90301,42004,scduma43,7.14,52,5.62,5.3475,5.095839,1683.416,7.31286,2.36123,1.15321,1.12536,1.05493,0.39064,0.41876,1.05493,0.3039,0.2973,0.18527,-0.56948,-0.56724,-0.64369,0.73996,2.64551,2.62153,3.61312,0.39372,0.42565,0.52788,1457,2450,3003,3044,2812,2504,1397,753,835,402,1095,1979,3018,2765,2487,1265,3129,364,864,672,3446,354,747,515,923,1800,3527,3334,2771,1108,0.31358,0.09053,0.0755,0.32003,0.34843,101.30993,0.39176,0.44428,0.5735,-12.12141,-8.59951,-14.21484,-7.98126,-14.18121,-9.62644,3.52191,1.40955,6.23357,6.23357,4.55477,1.47315,0,0,0,0,0,0,0,0,0,0,-12.12141,-8.59951,-14.21484,-7.98126,-14.18121,-9.62644,3.52191,1.40955,6.23357,6.23357,4.55477,1.47315,9448,6410,3517,2242,2552,4009,1734,1873,336,653
LR2018,Ndalu,Lungai,0.783333,34.89505,0.779332,34.90301,42007,scduma43,6.66,49,6.68,6.2675,6.581572,2034.602,10.43081,5.88562,1.19384,1.12412,1.07588,0.35591,0.35841,1.07588,0.39024,0.34226,0.38934,-0.60979,-0.62884,-0.72827,0.78693,3.12539,3.38857,5.36018,0.3411,0.34694,0.45496,1666,2439,2732,2665,2492,2208,1245,684,646,300,977,1808,2685,2492,2222,1013,2304,221,525,451,2843,149,447,339,810,1642,3225,3039,2389,891,0.27514,0.12281,0.04385,0.23477,0.28631,25.55997,0.36857,0.47359,0.63052,-14.03185,-8.94586,-14.34991,-8.64654,-15.9422,-9.03698,5.086,1.56853,5.70337,5.70337,6.90522,1.76411,0,0,0,0,0,0,0,0,0,0,-14.03185,-8.94586,-14.34991,-8.64654,-15.9422,-9.03698,5.086,1.56853,5.70337,5.70337,6.90522,1.76411,8272,5903,3619,2319,2241,4146,1889,2028,565,580
LR2018,Ndalu,Lungai,0.777127,34.90025,0.779332,34.90301,42016,scduma43,4.44,32,5.8,5.73,1.22164,1743.772,6.63932,2.31542,1.42084,1.14191,1.07287,0.25906,0.37928,1.07287,0.39286,0.32255,0.26515,-0.50099,-0.58002,-0.66732,0.74202,2.00795,2.7621,4.01185,0.24086,0.3751,0.50716,1966,2829,2813,2647,2557,2372,1514,1131,880,493,1148,2121,2977,2759,2491,1232,2720,314,723,613,3383,291,675,501,932,1822,3316,3126,2579,1052,0.28785,0.12364,0.07975,0.27882,0.34199,270,0.16253,0.42441,0.57143,-16.95183,-9.2757,-13.60339,-9.54348,-13.76413,-10.02676,7.67613,1.82755,4.05991,4.05991,3.73737,1.37274,0,0,0,0,0,0,0,0,0,0,-16.95183,-9.2757,-13.60339,-9.54348,-13.76413,-10.02676,7.67613,1.82755,4.05991,4.05991,3.73737,1.37274,8785,6825,3722,2210,2067,4096,1865,1983,462,570
LR2018,Ndalu,Lungai,0.781375,34.89639,0.779332,34.90301,42019,scduma43,5.33,39,5.69,5.4475,4.451583,1708.107,11.75588,1.76378,1.15318,1.11234,1.07038,0.40511,0.41236,1.07038,0.31574,0.27691,0.26064,-0.58129,-0.56563,-0.65852,0.74605,2.7766,2.60437,3.85693,0.40862,0.42002,0.49668,1646,2639,3351,3195,3047,2775,1611,773,846,402,1147,2006,2863,2865,2443,1308,2970,346,824,611,3259,278,671,474,895,1714,3223,3070,2677,1039,0.32872,0.07468,0.05692,0.30322,0.32933,336.80142,0.39879,0.46144,0.57726,-13.97643,-8.34978,-13.63269,-8.06267,-13.40615,-8.49011,5.62665,1.67387,5.57003,5.57003,4.91603,1.57903,0,0,0,0,0,0,0,0,0,0,-13.97643,-8.34978,-13.63269,-8.06267,-13.40615,-8.49011,5.62665,1.67387,5.57003,5.57003,4.91603,1.57903,8774,6562,2781,2725,2223,4109,1508,1945,279,547
LR2018,Ndalu,Lungai,0.782958,34.88483,0.779332,34.90301,42022,scduma43,4.44,32,6.55,6.4775,1.119259,1990.707,6.51589,5.2275,1.14092,1.09637,1.06277,0.4294,0.44122,1.06277,0.33829,0.29327,0.23787,-0.63596,-0.65767,-0.66332,0.75377,3.49388,3.84227,3.94032,0.43185,0.44916,0.55406,1970,2776,2866,3303,2846,2444,1369,720,735,356,1324,2211,3009,2683,2358,1183,3070,294,634,538,3725,322,754,523,1037,1985,3615,3397,2886,1198,0.33806,0.13506,0.05691,0.31168,0.37615,315,0.43518,0.51532,0.58924,-12.79019,-8.71397,-11.72415,-8.42169,-15.99101,-10.13411,4.07621,1.46778,3.30246,3.30246,5.8569,1.57794,0,0,0,0,0,0,0,0,0,0,-12.79019,-8.71397,-11.72415,-8.42169,-15.99101,-10.13411,4.07621,1.46778,3.30246,3.30246,5.8569,1.57794,9307,6952,3773,2401,2593,4359,1718,2019,572,713
LR2018,Ndalu,Lungai,0.782104,34.89805,0.779332,34.90301,42023,scduma43,7.14,52,3.32,3.28,1.219512,926.1493,5.65228,6.19209,1.3292,1.10845,1.07344,0.29423,0.43624,1.07344,0.4045,0.27097,0.23523,-0.54458,-0.57461,-0.62654,0.72167,2.39158,2.70159,3.35535,0.27493,0.4508,0.49287,1909,2886,3067,2659,2912,2643,1581,967,784,410,1365,2399,3101,2881,2670,1430,3250,378,878,659,3297,330,757,533,1146,2001,3474,3226,2766,1234,0.28294,0.08303,0.06543,0.33161,0.33398,63.43495,0.22686,0.46704,0.54571,-15.51496,-9.90951,-13.87297,-6.7156,-11.92496,-7.98649,5.60545,1.56566,7.15737,7.15737,3.93847,1.49314,0,0,0,0,0,0,0,0,0,0,-15.51496,-9.90951,-13.87297,-6.7156,-11.92496,-7.98649,5.60545,1.56566,7.15737,7.15737,3.93847,1.49314,9430,6956,3404,2150,2190,4083,1805,2008,373,465
LR2018,Ndalu,Lungai,0.776823,34.89887,0.779332,34.90301,42029,scduma43,7.14,52,6.45,6,7.5,1957.785,6.96629,1.67011,1.16258,1.12637,1.07171,0.40432,0.41111,1.07171,0.32201,0.30364,0.27047,-0.59152,-0.60703,-0.67904,0.74803,2.89618,3.08943,4.23122,0.40733,0.41498,0.52708,1723,2648,3224,3265,2994,2683,1425,817,838,419,1244,2128,3011,2706,2397,1344,3018,344,738,644,3552,294,679,512,1036,1887,3490,3262,2722,1130,0.33657,0.14484,0.08552,0.30859,0.35887,33.69007,0.38548,0.44602,0.57947,-14.94702,-8.39895,-13.09232,-7.90257,-13.07522,-8.6541,6.54807,1.77963,5.18975,5.18975,4.42112,1.51087,0,0,0,0,0,0,0,0,0,0,-14.94702,-8.39895,-13.09232,-7.90257,-13.07522,-8.6541,6.54807,1.77963,5.18975,5.18975,4.42112,1.51087,9445,6840,3215,2502,2539,4164,1771,1911,464,647
LR2018,Ndalu,Lungai,0.78095,34.90009,0.779332,34.90301,42031,scduma43,7.14,52,3.88,3.645,6.447188,1112.729,5.73518,5.70288,1.35036,1.09364,1.09918,0.28191,0.46689,1.09918,0.36279,0.2658,0.2378,-0.50889,-0.61616,-0.59004,0.65953,2.07238,3.21046,2.8785,0.26858,0.48786,0.42048,2003,3005,3378,2759,3072,2649,1559,1095,898,512,1327,2503,3921,3470,3121,1428,3461,366,822,631,2905,367,749,596,948,1762,3018,2961,2565,1186,0.29684,0.09621,0.125,0.35181,0.29655,21.37062,0.19795,0.50403,0.46595,-15.92211,-9.04002,-16.61079,-9.50678,-17.89736,-12.67646,6.8821,1.76129,7.10401,7.10401,5.2209,1.41186,0,0,0,0,0,0,0,0,0,0,-15.92211,-9.04002,-16.61079,-9.50678,-17.89736,-12.67646,6.8821,1.76129,7.10401,7.10401,5.2209,1.41186,10317,7292,2920,1587,1264,4321,1700,1855,325,482
LR2018,Ndalu,Lungai,0.78801,34.90419,0.779332,34.90301,42037,scduma43,4.44,32,6.03,6.3925,-5.67071,1820.588,6.73855,4.18822,1.35229,1.21085,1.05096,0.28701,0.34029,1.05096,0.43178,0.31804,0.1967,-0.52802,-0.54412,-0.69154,0.76333,2.2375,2.3871,4.48393,0.26409,0.33641,0.51351,1650,2459,2639,2590,2417,2123,1252,955,800,379,1106,1980,2832,2642,2264,1222,2835,446,837,862,3241,292,591,435,852,1683,3240,3039,2434,921,0.27605,0.21958,0.10319,0.29632,0.32701,173.65981,0.21705,0.31109,0.60481,-14.43836,-9.41996,-13.79219,-6.79796,-14.12397,-7.10476,5.0184,1.53274,6.99423,6.99423,7.01921,1.98796,0,0,0,0,0,0,0,0,0,0,-14.43836,-9.41996,-13.79219,-6.79796,-14.12397,-7.10476,5.0184,1.53274,6.99423,6.99423,7.01921,1.98796,8437,6285,3754,2024,2300,4010,1743,1665,617,577
LR2018,Ndalu,Lungai,0.778967,34.90736,0.779332,34.90301,42039,scduma43,6.66,49,5.3,4.5875,15.53134,1579.14,6.4433,2.8161,1.21176,1.11732,1.07078,0.37729,0.43187,1.07078,0.33423,0.31356,0.24284,-0.54978,-0.59018,-0.6451,0.73408,2.44227,2.88025,3.63533,0.37664,0.43702,0.49309,1954,3002,3404,3339,3208,2825,1597,992,970,495,1140,2074,3169,2821,2644,1201,3143,324,810,620,3254,304,702,499,959,1831,3402,3222,2707,1103,0.34832,0.0764,0.06711,0.32036,0.3292,80.53768,0.31798,0.47313,0.5619,-15.01585,-8.4691,-14.15096,-9.57062,-15.3623,-7.29941,6.54675,1.77302,4.58034,4.58034,8.06289,2.10459,0,0,0,0,0,0,0,0,0,0,-15.01585,-8.4691,-14.15096,-9.57062,-15.3623,-7.29941,6.54675,1.77302,4.58034,4.58034,8.06289,2.10459,9625,7207,3062,2596,2004,4009,1741,1975,380,650
LR2018,Ndalu,Lungai,0.770523,34.8984,0.779332,34.90301,42043,scduma43,5.33,39,3.45,3.465,-0.4329,970.0445,9.58238,2.19672,1.29588,1.1765,1.10429,0.29698,0.3283,1.10429,0.31758,0.33478,0.29066,-0.51057,-0.56953,-0.62696,0.68348,2.08639,2.64606,3.36133,0.2921,0.31732,0.46028,2391,3292,3012,2858,2720,2412,1595,1087,926,563,1221,2087,2344,2099,1801,1078,2359,306,647,614,3271,338,750,615,1095,2015,3248,2969,2573,1253,0.30577,0.17422,0.1192,0.24376,0.33283,18.43495,0.22288,0.36912,0.49163,-12.63638,-7.98987,-14.2058,-9.06787,-15.49182,-10.85494,4.64651,1.58155,5.13793,5.13793,4.63688,1.42717,0,0,0,0,0,0,0,0,0,0,-12.63638,-7.98987,-14.2058,-9.06787,-15.49182,-10.85494,4.64651,1.58155,5.13793,5.13793,4.63688,1.42717,8180,7208,3385,2768,2414,4192,1689,2327,513,538
LR2018,Ndalu,Lungai,0.778144,34.88645,0.779332,34.90301,43540,scduma43,7.14,52,4.2,4.0775,3.004292,1216.98,7.74845,3.81512,1.16961,1.12648,1.06662,0.39512,0.37048,1.06662,0.32474,0.35965,0.247,-0.57576,-0.64169,-0.68126,0.74832,2.71429,3.58175,4.2748,0.39633,0.35866,0.49835,1552,2513,3231,3198,3015,2722,1472,822,861,419,1119,2024,2931,2743,2471,1188,2410,219,526,465,3244,282,615,467,977,1836,3523,3264,2720,1060,0.3302,0.13058,0.09824,0.24544,0.32774,14.03624,0.37502,0.47738,0.58117,-11.83985,-8.70627,-11.92351,-8.04366,-12.64569,-9.32695,3.13358,1.35992,3.87985,3.87985,3.31874,1.35582,0,0,0,0,0,0,0,0,0,0,-11.83985,-8.70627,-11.92351,-8.04366,-12.64569,-9.32695,3.13358,1.35992,3.87985,3.87985,3.31874,1.35582,9188,6500,3232,2685,2611,4117,1904,2049,408,651
LR2018,Ndalu,Lungai,0.771188,34.90053,0.779332,34.90301,43543,scduma43,7.14,52,7.08,6.8275,3.698279,2166.312,7.04479,4.62331,1.09861,1.07734,1.07977,0.47767,0.45747,1.07977,0.37687,0.31132,0.32581,-0.72074,-0.70797,-0.70344,0.75495,5.16171,4.84872,4.74403,0.47989,0.46254,0.503,1444,2313,3073,3315,2834,2372,1110,506,538,229,909,1657,2672,2574,2116,834,2977,219,509,417,3366,239,586,470,875,1684,3136,2967,2392,870,0.33534,0.11092,0.09498,0.30061,0.33987,0,0.55575,0.5861,0.58636,-12.91787,-8.17828,-13.43813,-8.56335,-11.96937,-7.19142,4.73959,1.57953,4.87477,4.87477,4.77795,1.6644,0,0,0,0,0,0,0,0,0,0,-12.91787,-8.17828,-13.43813,-8.56335,-11.96937,-7.19142,4.73959,1.57953,4.87477,4.87477,4.77795,1.6644,8765,5917,3087,2708,2544,4152,1476,2110,671,707
LR2018,Ndalu,Lungai,0.782744,34.90867,0.779332,34.90301,43544,scduma43,4.44,32,5.15,5.355,-3.8282,1529.758,7.8192,4.26386,1.44755,1.1829,1.13028,0.24053,0.34772,1.13028,0.44089,0.32962,0.31343,-0.52882,-0.5611,-0.62928,0.64685,2.2447,2.55689,3.39491,0.21667,0.34063,0.43721,1751,2536,2551,2294,2514,2161,1356,969,707,376,1176,2022,2895,2547,2250,1253,2657,361,747,716,3283,368,747,704,1129,1938,3374,3194,2671,1244,0.24903,0.18092,0.17867,0.27518,0.33576,54.46232,0.15885,0.3564,0.44337,-13.72644,-9.99463,-13.76392,-7.17425,-13.74881,-9.61808,3.73182,1.37338,6.58967,6.58967,4.13073,1.42948,0,0,0,0,0,0,0,0,0,0,-13.72644,-9.99463,-13.76392,-7.17425,-13.74881,-9.61808,3.73182,1.37338,6.58967,6.58967,4.13073,1.42948,8463,6595,3797,1979,2739,3999,1907,2104,517,707
LR2018,Ndalu,Lungai,0.785885,34.90305,0.779332,34.90301,58133,scduma43,5.33,39,6.27,5.555,12.87129,1897.43,5.85294,5.07287,1.37588,1.13659,1.07879,0.27515,0.39087,1.07879,0.43279,0.3107,0.25971,-0.54396,-0.57959,-0.65983,0.72349,2.38554,2.75726,3.87934,0.25196,0.39043,0.48288,1769,2556,2713,2529,2674,2348,1256,970,747,384,1045,1888,2824,2523,2238,1125,2848,335,758,637,3235,305,663,519,869,1689,3311,3134,2456,939,0.27086,0.1237,0.10827,0.29184,0.32764,149.93141,0.20049,0.42832,0.54653,-12.04055,-8.59668,-13.07706,-7.67711,-12.66941,-10.39475,3.44388,1.40061,5.39996,5.39996,2.27466,1.21883,0,0,0,0,0,0,0,0,0,0,-12.04055,-8.59668,-13.07706,-7.67711,-12.66941,-10.39475,3.44388,1.40061,5.39996,5.39996,2.27466,1.21883,8543,6340,3657,2300,2280,4011,1750,1927,571,545
LR2018,Ndalu,Lungai,0.786043,34.91392,0.779332,34.90301,58137,scduma43,5.33,39,4.92,4.475,9.944134,1452.941,0,0,1.12054,1.07018,1.06141,0.44559,0.48094,1.06141,0.28363,0.27147,0.25916,-0.60542,-0.65076,-0.6807,0.77018,3.06868,3.72674,4.26362,0.46217,0.49756,0.54331,1713,2770,3359,3495,3165,2856,1603,749,859,418,1194,2168,3137,2884,2662,1423,3252,263,688,459,3574,273,679,464,964,1897,3435,3228,2804,1177,0.35744,0.02411,0.04096,0.32842,0.3604,0,0.44631,0.58583,0.61131,-13.73544,-8.33718,-14.22647,-10.01465,-16.04398,-9.77673,5.39825,1.64749,4.21182,4.21182,6.26724,1.64104,0,0,0,0,0,0,0,0,0,0,-13.73544,-8.33718,-14.22647,-10.01465,-16.04398,-9.77673,5.39825,1.64749,4.21182,4.21182,6.26724,1.64104,9949,6967,3026,2529,2257,4239,1677,1993,181,629
